
Image Name                     PID Session Name        Session#    Mem Usage Status          User Name                                              CPU Time Window Title                                                            
svchost.exe                   4636 Services                   0        540 K Unknown         N/A                                                     0:00:01 N/A                                                                     
spoolsv.exe                   4660 Services                   0      1,548 K Unknown         N/A                                                     0:00:00 N/A                                                                     
svchost.exe                   4732 Services                   0      1,148 K Unknown         N/A                                                     0:00:00 N/A                                                                     
OfficeClickToRun.exe          4756 Services                   0      4,844 K Unknown         N/A                                                     0:00:07 N/A                                                                     
svchost.exe                   4764 Services                   0      9,232 K Unknown         N/A                                                     0:00:50 N/A                                                                     
svchost.exe                   4776 Services                   0      8,928 K Unknown         N/A                                                     0:00:46 N/A                                                                     
esif_uf.exe                   4792 Services                   0          4 K Unknown         N/A                                                     0:00:00 N/A                                                                     
ETDService.exe                4804 Services                   0        220 K Unknown         N/A                                                     0:00:01 N/A                                                                     
nssm.exe                      4820 Services                   0          N/A Unknown         N/A                                                     0:00:00 N/A                                                                     
HPCommRecovery.exe            4916 Services                   0      4,300 K Unknown         N/A                                                     0:00:01 N/A                                                                     
HPPrintScanDoctorService.     4936 Services                   0      1,664 K Unknown         N/A                                                     0:00:01 N/A                                                                     
OneApp.IGCC.WinService.ex     4948 Services                   0      4,164 K Unknown         N/A                                                     0:00:02 N/A                                                                     
svchost.exe                   4976 Services                   0        500 K Unknown         N/A                                                     0:00:01 N/A                                                                     
IntelAudioService.exe         5016 Services                   0      1,392 K Unknown         N/A                                                     0:00:01 N/A                                                                     
svchost.exe                   5068 Services                   0        624 K Unknown         N/A                                                     0:00:01 N/A                                                                     
expressvpnd.exe               3816 Services                   0        864 K Unknown         N/A                                                     0:00:04 N/A                                                                     
jhi_service.exe               4148 Services                   0          N/A Unknown         N/A                                                     0:00:00 N/A                                                                     
servicehost.exe               1908 Services                   0      8,288 K Unknown         N/A                                                     0:05:39 N/A                                                                     
conhost.exe                   5168 Services                   0        396 K Unknown         N/A                                                     0:00:04 N/A                                                                     
MpDefenderCoreService.exe     5212 Services                   0      1,536 K Unknown         N/A                                                     0:00:03 N/A                                                                     
svchost.exe                   5256 Services                   0        472 K Unknown         N/A                                                     0:00:00 N/A                                                                     
RstMwService.exe              5280 Services                   0          N/A Unknown         N/A                                                     0:00:01 N/A                                                                     
RtkAudUService64.exe          5296 Services                   0          4 K Unknown         N/A                                                     0:00:01 N/A                                                                     
RtkBtManServ.exe              5328 Services                   0        116 K Unknown         N/A                                                     0:00:00 N/A                                                                     
SECOMN64.exe                  5400 Services                   0          4 K Unknown         N/A                                                     0:00:00 N/A                                                                     
svchost.exe                   5608 Services                   0          N/A Unknown         N/A                                                     0:00:00 N/A                                                                     
svchost.exe                   5484 Services                   0        452 K Unknown         N/A                                                     0:00:00 N/A                                                                     
WMIRegistrationService.ex     5620 Services                   0          N/A Unknown         N/A                                                     0:00:00 N/A                                                                     
mongod.exe                    5632 Services                   0     25,244 K Unknown         N/A                                                     0:08:48 N/A                                                                     
svchost.exe                   5668 Services                   0      1,420 K Unknown         N/A                                                     0:00:03 N/A                                                                     
MsMpEng.exe                   5720 Services                   0   1,65,032 K Unknown         N/A                                                     0:36:07 N/A                                                                     
wslservice.exe                5736 Services                   0        244 K Unknown         N/A                                                     0:00:01 N/A                                                                     
unsecapp.exe                  7216 Services                   0        980 K Unknown         N/A                                                     0:00:00 N/A                                                                     
WmiPrvSE.exe                  7496 Services                   0      8,460 K Unknown         N/A                                                     0:00:15 N/A                                                                     
svchost.exe                   7776 Services                   0     26,144 K Unknown         N/A                                                     0:28:19 N/A                                                                     
svchost.exe                   4960 Services                   0      8,104 K Unknown         N/A                                                     0:01:23 N/A                                                                     
gamingservices.exe            6684 Services                   0      9,808 K Unknown         N/A                                                     0:00:25 N/A                                                                     
gamingservicesnet.exe         7180 Services                   0        540 K Unknown         N/A                                                     0:00:00 N/A                                                                     
svchost.exe                   7308 Services                   0        448 K Unknown         N/A                                                     0:00:00 N/A                                                                     
warp-svc.exe                  4612 Services                   0     30,588 K Unknown         N/A                                                     0:16:06 N/A                                                                     
svchost.exe                   8732 Services                   0      2,680 K Unknown         N/A                                                     0:00:19 N/A                                                                     
svchost.exe                    648 Services                   0        436 K Unknown         N/A                                                     0:00:00 N/A                                                                     
svchost.exe                   3004 Services                   0      1,524 K Unknown         N/A                                                     0:00:00 N/A                                                                     
AggregatorHost.exe            9516 Services                   0      1,792 K Unknown         N/A                                                     0:00:01 N/A                                                                     
svchost.exe                   9596 Services                   0      3,680 K Unknown         N/A                                                     0:00:03 N/A                                                                     
svchost.exe                   9620 Services                   0        644 K Unknown         N/A                                                     0:00:01 N/A                                                                     
NgcIso.exe                    9704 Services                   0          N/A Unknown         N/A                                                     0:00:00 N/A                                                                     
svchost.exe                   9716 Services                   0      6,604 K Unknown         N/A                                                     0:00:04 N/A                                                                     
svchost.exe                   9168 Services                   0        476 K Unknown         N/A                                                     0:00:01 N/A                                                                     
svchost.exe                   9080 Services                   0      4,908 K Unknown         N/A                                                     0:00:15 N/A                                                                     
svchost.exe                  10544 Services                   0      2,100 K Unknown         N/A                                                     0:00:05 N/A                                                                     
svchost.exe                  11020 Services                   0          N/A Unknown         N/A                                                     0:00:00 N/A                                                                     
svchost.exe                  13472 Services                   0      3,304 K Unknown         N/A                                                     0:00:03 N/A                                                                     
NisSrv.exe                   14112 Services                   0      4,084 K Unknown         N/A                                                     0:00:24 N/A                                                                     
SearchIndexer.exe            15012 Services                   0      5,164 K Unknown         N/A                                                     0:14:05 N/A                                                                     
SecurityHealthService.exe     8316 Services                   0      3,868 K Unknown         N/A                                                     0:00:03 N/A                                                                     
dasHost.exe                   6280 Services                   0      1,608 K Unknown         N/A                                                     0:00:01 N/A                                                                     
svchost.exe                  13908 Services                   0        548 K Unknown         N/A                                                     0:00:00 N/A                                                                     
dasHost.exe                  13468 Services                   0      1,080 K Unknown         N/A                                                     0:00:00 N/A                                                                     
svchost.exe                  11120 Services                   0      2,888 K Unknown         N/A                                                     0:00:01 N/A                                                                     
FileSyncHelper.exe            5040 Services                   0        236 K Unknown         N/A                                                     0:00:01 N/A                                                                     
svchost.exe                  16916 Services                   0      8,108 K Unknown         N/A                                                     0:00:22 N/A                                                                     
svchost.exe                  16668 Services                   0        456 K Unknown         N/A                                                     0:00:01 N/A                                                                     
svchost.exe                  16936 Services                   0      1,592 K Unknown         N/A                                                     0:00:01 N/A                                                                     
svchost.exe                  16548 Services                   0        444 K Unknown         N/A                                                     0:00:00 N/A                                                                     
svchost.exe                   7760 Services                   0      6,048 K Unknown         N/A                                                     0:00:54 N/A                                                                     
svchost.exe                  16172 Services                   0      1,624 K Unknown         N/A                                                     0:00:00 N/A                                                                     
svchost.exe                  20680 Services                   0        448 K Unknown         N/A                                                     0:00:00 N/A                                                                     
vmcompute.exe                20264 Services                   0        892 K Unknown         N/A                                                     0:00:00 N/A                                                                     
MidiSrv.exe                   6440 Services                   0          8 K Unknown         N/A                                                     0:00:00 N/A                                                                     
svchost.exe                   5680 Services                   0      1,104 K Unknown         N/A                                                     0:00:00 N/A                                                                     
svchost.exe                  13964 Services                   0      1,584 K Unknown         N/A                                                     0:00:00 N/A                                                                     
hpqwmiex.exe                 22316 Services                   0      1,452 K Unknown         N/A                                                     0:00:00 N/A                                                                     
csrss.exe                    14944 Console                    3      1,028 K Unknown         N/A                                                     0:00:04 N/A                                                                     
winlogon.exe                 17568 Console                    3        468 K Unknown         N/A                                                     0:00:00 N/A                                                                     
fontdrvhost.exe               5060 Console                    3          N/A Unknown         N/A                                                     0:00:00 N/A                                                                     
dwm.exe                      10096 Console                    3     14,800 K Running         N/A                                                     0:01:24 DWM Notification Window                                                 
ETDCtrl.exe                  15904 Console                    3         16 K Running         LAPTOP-1KAEDQCA\bless                                   0:00:00 My Favorites Setting                                                    
uihost.exe                   21120 Console                    3      7,692 K Not Responding  LAPTOP-1KAEDQCA\bless                                   0:00:09 OleMainThreadWndName                                                    
sihost.exe                    6548 Console                    3      5,452 K Running         LAPTOP-1KAEDQCA\bless                                   0:00:06 N/A                                                                     
svchost.exe                  17724 Console                    3      1,116 K Unknown         LAPTOP-1KAEDQCA\bless                                   0:00:00 N/A                                                                     
svchost.exe                  11708 Console                    3      3,612 K Unknown         LAPTOP-1KAEDQCA\bless                                   0:00:01 N/A                                                                     
svchost.exe                  13948 Console                    3        124 K Unknown         LAPTOP-1KAEDQCA\bless                                   0:00:00 N/A                                                                     
svchost.exe                   8552 Console                    3      6,484 K Running         LAPTOP-1KAEDQCA\bless                                   0:00:11 Windows Push Notifications Platform                                     
igfxEMN.exe                  22144 Console                    3         16 K Running         LAPTOP-1KAEDQCA\bless                                   0:00:00 The Event Manager Dashboard                                             
taskhostw.exe                 7832 Console                    3      2,084 K Running         LAPTOP-1KAEDQCA\bless                                   0:00:00 Task Host Window                                                        
